pipe_id,node1,node2,length,diameter,roughness
1,1,2,106.592226921,989.818746381,135.085872892
10,10,11,885.397310251,756.739651834,142.130886546
11,11,12,1132.17746841,788.558697866,135.517885767
12,12,13,3182.92027395,638.377387412,124.606682609
13,10,14,858.152900139,395.572145882,121.691244443
14,14,15,497.620858052,421.082344336,129.898745239
15,15,16,578.396631806,311.443619969,120.368632511
16,17,16,2649.36334765,418.82915569,139.240747222
17,17,18,1675.29750632,505.984218529,126.059408106
18,18,19,772.794704238,579.381212334,128.334422159
19,19,3,375.774842472,585.226193641,118.331386114
2,2,3,1256.91633173,1027.84899509,124.139471513
20,3,20,2138.856153,1050.95432168,133.820196017
21,20,21,1598.22178997,498.383262878,134.262250724
22,21,22,456.16317288,310.937018749,127.914313404
23,20,23,2864.31029578,975.486811223,142.236518592
24,23,24,1127.67393213,769.769597255,128.20866504
25,24,25,1249.63403971,742.910693258,139.23579247
26,26,25,901.74652871,487.044891525,142.738989885
27,27,26,319.554473809,312.375192593,136.978556339
28,16,27,792.547027845,302.831815746,133.337962553
29,23,28,1501.20157475,391.028298331,127.458530469
3,3,4,974.829122192,980.097612469,119.691587417
30,28,29,2148.62313922,389.342415655,139.398658704
31,29,30,1522.75677517,309.631946484,128.836744534
32,30,31,143.439966909,297.045668827,131.707776529
33,32,31,815.224699218,418.26817584,131.087073485
34,25,32,998.179634857,525.498650694,121.970765881
4,4,5,1246.40666954,1023.0696112,129.1101587
5,5,6,1335.53132065,1026.76921853,136.138273623
6,6,7,407.888313376,995.929206535,131.236087289
7,7,8,881.63166123,1029.8651424,139.078544715
8,8,9,810.400279587,1039.72731554,132.173735035
9,9,10,847.189523608,989.208014472,127.376033704
