,pipe_id,node1,node2,pipe_length,pipe_diameter,pipe_roughness,pipe_minor_loss,pipe_status
0,1,1,2,114.229817984,1060.91628515,119.494620724,0,Open
1,10,10,11,888.97258349,829.346944159,139.336078033,0,Open
2,11,11,12,1128.7930638,776.112804159,134.289806886,0,Open
3,12,12,13,3405.21710821,623.2200717,124.118271105,0,Open
4,13,10,14,724.86024322,424.638662091,120.642555836,0,Open
5,14,14,15,560.386204619,391.606536282,137.592143626,0,Open
6,15,15,16,556.71045974,321.745373012,138.363615213,0,Open
7,16,17,16,2779.98459646,433.428771497,124.128608901,0,Open
8,17,17,18,1984.06067528,464.981103952,123.90844148,0,Open
9,18,18,19,831.656046106,570.165532024,138.335433011,0,Open
10,19,19,3,393.385422118,635.088476533,127.789809429,0,Open
11,2,2,3,1391.15684484,843.082218928,124.416637139,0,Open
12,20,3,20,1949.03880614,871.244305486,134.43667863,0,Open
13,21,20,21,1300.23513039,539.762702844,121.327589693,0,Open
14,22,21,22,495.439991755,245.26218719,124.667178836,0,Open
15,23,20,23,3045.12585162,922.564163854,129.969462329,0,Open
16,24,23,24,1137.58399441,880.399850941,121.120514532,0,Open
17,25,24,25,1113.36103396,896.93003232,142.248572841,0,Open
18,26,26,25,739.039162794,500.557315329,134.733247578,0,Open
19,27,27,26,270.271725844,280.180092679,125.30355716,0,Open
20,28,16,27,847.789367718,314.77834651,131.433208262,0,Open
21,29,23,28,1539.36566031,350.733483438,117.390078262,0,Open
22,3,3,4,836.572579817,909.395438107,122.160406942,0,Open
23,30,28,29,1840.15736728,337.721532815,141.788714507,0,Open
24,31,29,30,1632.00218752,330.462121333,139.71833167,0,Open
25,32,30,31,152.222559636,313.441149023,136.609607476,0,Open
26,33,32,31,759.857494078,394.440431029,140.232428745,0,Open
27,34,25,32,868.293433491,443.794823465,125.709381631,0,Open
28,4,4,5,1055.00227945,853.189378827,117.70303137,0,Open
29,5,5,6,1662.72001111,979.844441182,127.417036249,0,Open
30,6,6,7,455.550887315,1162.1169378,136.988263145,0,Open
31,7,7,8,975.841581577,990.467946328,118.929765294,0,Open
32,8,8,9,751.82059517,1053.50792872,134.546448185,0,Open
33,9,9,10,895.333962296,1027.50565155,128.573673519,0,Open
