time_seconds,flow_node2,flow_node3,flow_node4,flow_node5,flow_node6,flow_node7,flow_node8,flow_node9,pressure_node2,pressure_node3,pressure_node4,pressure_node5,pressure_node6,pressure_node7,pressure_node8,pressure_node9,volume_node2,volume_node3,volume_node4,volume_node5,volume_node6,volume_node7,volume_node8,volume_node9,x_node2,x_node3,x_node4,x_node5,x_node6,x_node7,x_node8,x_node9,y_node2,y_node3,y_node4,y_node5,y_node6,y_node7,y_node8,y_node9,z_node2,z_node3,z_node4,z_node5,z_node6,z_node7,z_node8,z_node9,leak_node10,leak_node11,leak_node12,leak_node13,leak_node14,leak_x,leak_y,leak_z,weekday_flag
0,1.85,0.3,1.0,0.15,0.4,1.85,0.55,1.3,54.87,54.87,54.87,54.87,54.87,54.87,54.87,54.87,18.5,3.0,10,1.5,4,18.5,5.5,13.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,1.85,0.3,1.0,0.15,0.4,1.85,0.55,1.3,54.87,54.87,54.87,54.87,54.87,54.87,54.87,54.87,18.5,3.0,10,1.5,4,18.5,5.5,13.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,1.85,0.3,1.0,0.15,0.4,1.85,0.55,1.3,54.87,54.87,54.87,54.87,54.87,54.87,54.87,54.87,18.5,3.0,10,1.5,4,18.5,5.5,13.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1800,1.85,0.3,1.0,0.15,0.4,1.85,0.55,1.3,54.87,54.87,54.87,54.87,54.87,54.87,54.87,54.87,18.5,3.0,10,1.5,4,18.5,5.5,13.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,1.85,0.3,1.0,0.15,0.4,1.85,0.55,1.3,54.87,54.87,54.87,54.87,54.87,54.87,54.87,54.87,18.5,3.0,10,1.5,4,18.5,5.5,13.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,1.85,0.3,1.0,0.15,0.4,1.85,0.55,1.3,54.87,54.87,54.87,54.87,54.87,54.87,54.87,54.87,18.5,3.0,10,1.5,4,18.5,5.5,13.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,54.124,54.124,54.124,54.124,54.124,54.124,54.124,54.124,12.5,3.0,4,1.5,4,12.5,5.5,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,54.124,54.124,54.124,54.124,54.124,54.124,54.124,54.124,12.5,3.0,4,1.5,4,12.5,5.5,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,54.124,54.124,54.124,54.124,54.124,54.124,54.124,54.124,12.5,3.0,4,1.5,4,12.5,5.5,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5400,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,54.124,54.124,54.124,54.124,54.124,54.124,54.124,54.124,12.5,3.0,4,1.5,4,12.5,5.5,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6000,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,54.124,54.124,54.124,54.124,54.124,54.124,54.124,54.124,12.5,3.0,4,1.5,4,12.5,5.5,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6600,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,54.124,54.124,54.124,54.124,54.124,54.124,54.124,54.124,12.5,3.0,4,1.5,4,12.5,5.5,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200,1.1,0.3,0.4,2.5159e-07,0.4,1.1,0.4,0.7,53.539,53.539,53.539,53.539,53.539,53.539,53.539,53.539,11.0,3.0,4,2.5159e-06,4,11.0,4.0,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7800,1.1002,0.3,0.4,0.0,0.4,1.1002,0.40025,0.7,53.539,53.539,53.539,53.539,53.539,53.539,53.539,53.539,11.002,3.0,4,0.0,4,11.002,4.0025,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8400,1.1007,0.3,0.4,0.00048288,0.4,1.1007,0.4007,0.7,53.539,53.539,53.539,53.539,53.539,53.539,53.539,53.539,11.007,3.0,4,0.0048288,4,11.007,4.007,7.0,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
